iter	Passed	Remaining
158	1433	7584
159	1441	7570
160	1451	7563
161	1461	7561
162	1470	7552
163	1479	7540
164	1487	7529
165	1496	7516
166	1503	7501
167	1512	7488
168	1520	7474
169	1528	7461
170	1536	7448
171	1544	7436
172	1552	7423
173	1560	7409
174	1568	7395
175	1576	7381
176	1584	7367
177	1592	7353
178	1601	7346
179	1609	7333
180	1617	7320
181	1625	7305
182	1633	7291
183	1641	7278
184	1649	7267
185	1657	7253
186	1665	7240
187	1673	7227
188	1681	7214
189	1689	7201
190	1697	7188
191	1705	7175
192	1713	7164
193	1721	7152
194	1729	7139
195	1737	7126
196	1745	7116
197	1755	7109
198	1763	7096
199	1771	7085
200	1779	7073
201	1787	7061
202	1795	7047
203	1803	7035
204	1811	7023
205	1819	7012
206	1827	7000
207	1835	6988
208	1843	6976
209	1851	6964
210	1859	6952
211	1867	6940
212	1875	6928
213	1883	6917
214	1891	6906
215	1899	6894
216	1907	6882
217	1915	6872
218	1923	6860
219	1932	6850
220	1940	6840
221	1948	6828
222	1956	6816
223	1964	6804
224	1972	6792
225	1979	6780
226	1987	6768
227	1995	6757
228	2003	6745
229	2011	6733
230	2019	6723
231	2027	6712
232	2035	6700
233	2043	6689
234	2051	6677
235	2059	6666
236	2067	6656
237	2075	6644
238	2083	6633
239	2091	6621
240	2098	6610
241	2106	6599
242	2114	6588
243	2122	6576
244	2130	6566
245	2138	6555
246	2146	6544
247	2154	6534
248	2163	6523
249	2171	6513
250	2179	6503
251	2187	6492
252	2195	6482
253	2203	6471
254	2211	6460
255	2219	6450
256	2227	6440
257	2235	6429
258	2243	6419
259	2251	6408
260	2259	6398
261	2268	6388
262	2277	6381
263	2285	6370
264	2293	6360
265	2301	6349
266	2308	6338
267	2317	6328
268	2324	6318
269	2332	6307
270	2340	6296
271	2348	6286
272	2357	6276
273	2365	6267
274	2373	6256
275	2381	6246
276	2389	6236
277	2397	6225
278	2404	6214
279	2412	6204
280	2420	6194
281	2428	6184
282	2437	6174
283	2445	6164
284	2453	6155
285	2461	6145
286	2469	6135
287	2477	6124
288	2485	6113
289	2493	6103
290	2501	6093
291	2508	6082
292	2516	6072
293	2524	6062
294	2532	6052
295	2540	6042
296	2548	6031
297	2556	6021
298	2564	6011
299	2572	6001
300	2580	5991
301	2588	5982
302	2595	5971
303	2603	5960
304	2611	5950
305	2619	5941
306	2627	5931
307	2635	5920
308	2643	5910
309	2651	5900
310	2659	5890
311	2666	5881
312	2674	5871
313	2682	5861
314	2691	5851
315	2698	5841
316	2706	5832
317	2715	5822
318	2723	5813
319	2730	5803
320	2739	5793
321	2746	5783
322	2754	5773
323	2762	5764
324	2770	5754
325	2778	5745
326	2787	5736
327	2795	5727
328	2803	5718
329	2812	5709
330	2820	5700
331	2828	5690
332	2836	5680
333	2844	5671
334	2852	5662
335	2860	5652
336	2868	5643
337	2876	5633
338	2884	5625
339	2892	5615
340	2901	5606
341	2909	5597
342	2917	5588
343	2925	5579
344	2933	5570
345	2941	5560
346	2949	5550
347	2957	5541
348	2965	5532
349	2973	5522
350	2982	5514
351	2991	5506
352	2999	5497
353	3007	5487
354	3015	5478
355	3023	5469
356	3031	5459
357	3039	5450
358	3047	5441
359	3055	5431
360	3063	5422
361	3071	5412
362	3079	5403
363	3087	5393
364	3095	5384
365	3103	5376
366	3111	5367
367	3119	5357
368	3127	5348
369	3135	5339
370	3143	5330
371	3151	5320
372	3159	5310
373	3167	5302
374	3175	5293
375	3183	5283
376	3191	5274
377	3199	5265
378	3207	5256
379	3215	5247
380	3224	5237
381	3232	5229
382	3240	5219
383	3247	5210
384	3255	5200
385	3263	5191
386	3271	5182
387	3279	5172
388	3287	5163
389	3295	5154
390	3304	5146
391	3313	5138
392	3320	5129
393	3329	5120
394	3337	5111
395	3345	5102
396	3352	5092
397	3361	5083
398	3368	5074
399	3377	5065
400	3385	5056
401	3393	5048
402	3402	5039
403	3410	5031
404	3418	5022
405	3426	5013
406	3434	5004
407	3442	4995
408	3450	4986
409	3458	4976
410	3467	4968
411	3475	4959
412	3483	4950
413	3491	4941
414	3498	4932
415	3506	4922
416	3514	4914
417	3522	4905
418	3530	4896
419	3538	4886
420	3546	4878
421	3554	4869
422	3563	4860
423	3571	4851
424	3579	4842
425	3587	4833
426	3595	4824
427	3603	4815
428	3610	4806
429	3618	4797
430	3626	4788
431	3635	4779
432	3642	4770
433	3651	4761
434	3659	4752
435	3667	4743
436	3675	4734
437	3683	4726
438	3691	4717
439	3699	4708
440	3707	4700
441	3715	4690
442	3723	4682
443	3731	4673
444	3740	4664
445	3748	4655
446	3756	4647
447	3764	4637
448	3772	4629
449	3780	4620
450	3788	4611
451	3796	4602
452	3804	4593
453	3811	4584
454	3819	4575
455	3827	4566
456	3837	4559
457	3845	4550
458	3853	4541
459	3861	4533
460	3869	4524
461	3877	4515
462	3885	4506
463	3893	4497
464	3901	4489
465	3909	4480
466	3917	4471
467	3925	4462
468	3933	4453
469	3941	4444
470	3949	4435
471	3957	4426
472	3965	4418
473	3974	4410
474	3982	4402
475	3991	4394
476	3999	4385
477	4008	4377
478	4015	4368
479	4023	4358
480	4031	4350
481	4040	4341
482	4047	4332
483	4056	4324
484	4064	4315
485	4072	4307
486	4080	4298
487	4088	4289
488	4096	4281
489	4105	4272
490	4113	4264
491	4121	4255
492	4129	4246
493	4137	4237
494	4145	4229
495	4153	4220
496	4161	4211
497	4169	4203
498	4177	4194
499	4185	4185
500	4193	4176
501	4201	4167
502	4209	4159
503	4217	4150
504	4225	4141
505	4233	4133
506	4241	4124
507	4249	4115
508	4257	4106
509	4265	4098
510	4273	4089
511	4281	4080
512	4289	4072
513	4297	4063
514	4305	4054
515	4313	4046
516	4321	4037
517	4329	4028
518	4337	4019
519	4345	4010
520	4353	4002
521	4361	3993
522	4369	3985
523	4377	3976
524	4385	3968
525	4393	3959
526	4401	3950
527	4409	3941
528	4417	3933
529	4425	3924
530	4433	3916
531	4441	3907
532	4449	3898
533	4457	3889
534	4465	3881
535	4473	3872
536	4481	3864
537	4490	3855
538	4498	3847
539	4507	3839
540	4515	3830
541	4523	3822
542	4532	3814
543	4540	3805
544	4548	3797
545	4556	3788
546	4564	3780
547	4572	3771
548	4580	3762
549	4588	3754
550	4596	3745
551	4603	3736
552	4613	3729
553	4621	3720
554	4629	3711
555	4637	3703
556	4645	3694
557	4653	3686
558	4661	3677
559	4669	3668
560	4677	3659
561	4684	3651
562	4692	3642
563	4700	3634
564	4709	3625
565	4717	3616
566	4725	3608
567	4733	3599
568	4741	3591
569	4748	3582
570	4757	3574
571	4765	3565
572	4772	3556
573	4780	3548
574	4788	3539
575	4796	3530
576	4804	3522
577	4812	3513
578	4820	3504
579	4828	3496
580	4836	3487
581	4844	3479
582	4852	3470
583	4860	3462
584	4868	3453
585	4876	3445
586	4884	3436
587	4893	3428
588	4901	3420
589	4910	3412
590	4918	3403
591	4926	3395
592	4935	3387
593	4943	3378
594	4951	3370
595	4959	3361
596	4966	3352
597	4975	3344
598	4983	3335
599	4991	3327
600	4999	3319
601	5007	3310
602	5015	3301
603	5023	3293
604	5031	3285
605	5039	3276
606	5047	3268
607	5055	3259
608	5063	3250
609	5073	3243
610	5081	3234
611	5089	3226
612	5098	3218
613	5106	3210
614	5114	3202
615	5122	3193
616	5130	3184
617	5138	3176
618	5146	3167
619	5154	3159
620	5163	3151
621	5171	3142
622	5179	3134
623	5187	3126
624	5196	3117
625	5204	3109
626	5211	3100
627	5220	3092
628	5228	3083
629	5236	3075
630	5244	3066
631	5252	3058
632	5260	3050
633	5269	3042
634	5277	3033
635	5285	3024
636	5293	3016
637	5300	3007
638	5308	2999
639	5316	2990
640	5324	2982
641	5332	2973
642	5341	2965
643	5349	2957
644	5357	2948
645	5365	2940
646	5373	2931
647	5381	2923
648	5389	2914
649	5397	2906
650	5406	2898
651	5414	2890
652	5422	2881
653	5430	2873
654	5438	2864
655	5447	2856
656	5455	2847
657	5462	2839
658	5471	2831
659	5479	2822
660	5486	2813
661	5494	2805
662	5502	2796
663	5510	2788
664	5518	2780
665	5526	2771
666	5534	2763
667	5542	2754
668	5550	2746
669	5558	2737
670	5566	2729
671	5574	2721
672	5583	2712
673	5591	2704
674	5598	2695
675	5606	2687
676	5614	2678
677	5622	2670
678	5630	2662
679	5638	2653
680	5646	2645
681	5654	2636
682	5662	2628
683	5671	2620
684	5680	2612
685	5688	2603
686	5696	2595
687	5704	2586
688	5712	2578
689	5721	2570
690	5729	2561
691	5737	2553
692	5746	2545
693	5754	2537
694	5762	2528
695	5770	2520
696	5778	2512
697	5786	2503
698	5794	2495
699	5803	2487
700	5811	2478
701	5819	2470
702	5827	2462
703	5835	2453
704	5843	2445
705	5851	2436
706	5860	2428
707	5867	2420
708	5876	2411
709	5883	2403
710	5891	2394
711	5899	2386
712	5907	2378
713	5915	2369
714	5924	2361
715	5932	2353
716	5940	2344
717	5948	2336
718	5956	2327
719	5964	2319
720	5972	2311
721	5981	2302
722	5989	2294
723	5997	2286
724	6005	2277
725	6013	2269
726	6021	2261
727	6029	2252
728	6037	2244
729	6045	2235
730	6053	2227
731	6061	2219
732	6068	2210
733	6076	2202
734	6084	2193
735	6092	2185
736	6100	2177
737	6108	2168
738	6116	2160
739	6124	2151
740	6132	2143
741	6141	2135
742	6149	2127
743	6157	2118
744	6166	2110
745	6174	2102
746	6182	2094
747	6191	2085
748	6199	2077
749	6207	2069
750	6215	2060
751	6223	2052
752	6231	2044
753	6240	2035
754	6248	2027
755	6256	2019
756	6265	2011
757	6273	2002
758	6281	1994
759	6289	1986
760	6296	1977
761	6304	1969
762	6312	1960
763	6320	1952
764	6328	1944
765	6336	1935
766	6344	1927
767	6352	1918
768	6360	1910
769	6368	1902
770	6376	1893
771	6384	1885
772	6392	1877
773	6400	1868
774	6408	1860
775	6416	1852
776	6424	1843
777	6432	1835
778	6440	1827
779	6448	1818
780	6456	1810
781	6464	1802
782	6472	1793
783	6480	1785
784	6488	1777
785	6496	1768
786	6504	1760
787	6511	1751
788	6519	1743
789	6528	1735
790	6536	1726
791	6544	1718
792	6552	1710
793	6560	1702
794	6568	1693
795	6576	1685
796	6584	1677
797	6592	1668
798	6600	1660
799	6608	1652
800	6616	1643
801	6624	1635
802	6632	1627
803	6640	1618
804	6648	1610
805	6656	1602
806	6664	1593
807	6672	1585
808	6680	1577
809	6688	1568
810	6696	1560
811	6704	1552
812	6712	1544
813	6720	1535
814	6728	1527
815	6736	1519
816	6744	1510
817	6752	1502
818	6760	1494
819	6768	1485
820	6776	1477
821	6784	1469
822	6792	1460
823	6800	1452
824	6808	1444
825	6817	1436
826	6825	1427
827	6833	1419
828	6842	1411
829	6849	1402
830	6857	1394
831	6866	1386
832	6875	1378
833	6883	1370
834	6891	1361
835	6899	1353
836	6907	1345
837	6915	1336
838	6923	1328
839	6931	1320
840	6939	1311
841	6947	1303
842	6955	1295
843	6962	1286
844	6971	1278
845	6979	1270
846	6987	1262
847	6995	1253
848	7004	1245
849	7012	1237
850	7019	1229
851	7027	1220
852	7035	1212
853	7044	1204
854	7051	1195
855	7059	1187
856	7067	1179
857	7075	1171
858	7083	1162
859	7092	1154
860	7100	1146
861	7108	1138
862	7116	1129
863	7124	1121
864	7132	1113
865	7140	1104
866	7148	1096
867	7156	1088
868	7164	1080
869	7172	1071
870	7180	1063
871	7188	1055
872	7196	1046
873	7204	1038
874	7212	1030
875	7220	1022
876	7228	1013
877	7235	1005
878	7243	997
879	7251	988
880	7259	980
881	7267	972
882	7275	964
883	7283	955
884	7291	947
885	7299	939
886	7307	930
887	7315	922
888	7324	914
889	7333	906
890	7342	898
891	7351	890
892	7359	881
893	7367	873
894	7375	865
895	7384	857
896	7392	848
897	7400	840
898	7408	832
899	7416	824
900	7424	815
901	7432	807
902	7440	799
903	7448	791
904	7457	782
905	7465	774
906	7473	766
907	7482	758
908	7490	749
909	7498	741
910	7506	733
911	7514	725
912	7522	716
913	7530	708
914	7538	700
915	7546	692
916	7554	683
917	7562	675
918	7570	667
919	7578	658
920	7586	650
921	7593	642
922	7602	634
923	7610	625
924	7618	617
925	7626	609
926	7634	601
927	7642	592
928	7650	584
929	7658	576
930	7665	568
931	7674	559
932	7681	551
933	7689	543
934	7697	535
935	7705	526
936	7714	518
937	7722	510
938	7730	502
939	7738	493
940	7746	485
941	7754	477
942	7762	469
943	7770	460
944	7778	452
945	7786	444
946	7794	436
947	7802	427
948	7810	419
949	7818	411
950	7826	403
951	7835	395
952	7843	386
953	7851	378
954	7860	370
955	7868	362
956	7876	353
957	7884	345
958	7892	337
959	7900	329
960	7909	321
961	7917	312
962	7926	304
963	7933	296
964	7942	288
965	7950	279
966	7958	271
967	7967	263
968	7976	255
969	7983	246
970	7991	238
971	7999	230
972	8008	222
973	8015	213
974	8024	205
975	8032	197
976	8040	189
977	8048	181
978	8056	172
979	8064	164
980	8072	156
981	8080	148
982	8088	139
983	8096	131
984	8104	123
985	8112	115
986	8120	106
987	8128	98
988	8136	90
989	8144	82
990	8152	74
991	8160	65
992	8167	57
993	8176	49
994	8184	41
995	8192	32
996	8200	24
997	8208	16
998	8216	8
999	8224	0
